Name,Address,Category,Rating,Reviews,PlaceID,Lat,Lng
"Carolina Ale House - Charlotte-Waverly","7404 Waverly Walk Ave I-1, Charlotte, NC 28277, USA","bar",4.4,3283,ChIJZ2f_L80nVIgRGMqF-3HCraY,35.0514882,-80.76762310000001
"The Club House Bites and Booze","16715 Orchard Stone Run Ste 200, Charlotte, NC 28277, USA","bar",4.5,361,ChIJ6a5WOZiDVogRXHgHmpQIMLg,35.0263546,-80.83886009999999
"Maxwell's Tavern","112 E South Main St, Waxhaw, NC 28173, USA","bar",4.7,1696,ChIJhbd4gpUrVIgRRfd-6AhrVPo,34.9246167,-80.7430444
"Ilios Noche","11508 Providence Rd, Charlotte, NC 28277, USA","bar",4.5,1144,ChIJbzHqL8wnVIgReNw_E1pRdgs,35.05312300000001,-80.77071099999999
"Mary O'Neill's Irish Pub","116 W North Main St, Waxhaw, NC 28173, USA","bar",4.7,1824,ChIJb6a80b8rVIgRlD0PD2CgEps,34.9252129,-80.7441802
"Chili's Grill & Bar","9730 Rea Rd, Charlotte, NC 28277, USA","bar",3.9,1044,ChIJz5RGWAEoVIgR1dBkoGQJvJY,35.03611,-80.805323
"DB's Tavern","8155 Ardrey Kell Rd, Charlotte, NC 28277, USA","bar",4.4,565,ChIJNcrZJgooVIgREKp4CrBerPE,35.0387588,-80.7932634
"Brixx Wood Fired Pizza + Craft Bar","9820 Rea Rd, Charlotte, NC 28277, USA","bar",4.4,835,ChIJI2vT6gMoVIgRDiJaxq9xAqE,35.0345855,-80.80592159999999
"Hickory Tavern","11504 Providence Rd N, Charlotte, NC 28277, USA","bar",4,1096,ChIJo45_I8wnVIgRUQ2KxEtMMSo,35.0534568,-80.77079189999999
"Waxhaw Tap House","110 McDonald St, Waxhaw, NC 28173, USA","bar",4.6,388,ChIJLbWe3AArVIgR2QggExCd6QE,34.925968000000005,-80.74434579999999
"Hickory Tavern","6400 Weddington Rd Suite H, Wesley Chapel, NC 28104, USA","bar",4.1,1125,ChIJk6cBEwwvVIgRFryJcUddeA0,35.000588,-80.6936782
"Chili's Grill & Bar","7704 Charlotte Hwy, Indian Land, SC 29707, USA","bar",3.8,1029,ChIJu-z_zsCBVogR6aISkWKb6Do,34.936678,-80.83587
"Miku Asian Kitchen","8129 Ardrey Kell Rd, Charlotte, NC 28277, USA","bar",4.5,255,ChIJ4ZQDJSspVIgR53iThz5hmso,35.038884599999996,-80.7947559
"Hickory Tavern","8364 Charlotte Hwy, Fort Mill, SC 29707, USA","bar",4.1,1370,ChIJd-l3osqDVogRauP2VpkdO8Y,34.954809,-80.8509152
"Foxcroft Food & Wine - Waverly","7416 Waverly Walk Ave SUITE H-1A, Charlotte, NC 28277, USA","bar",4.6,186,ChIJTSUPVx4nVIgRhAB7isYSw94,35.0510112,-80.76732559999999
"Walmart Supercenter","10048 Charlotte Hwy, Indian Land, SC 29707, USA","bakery",3.9,4628,ChIJO7Tw3-KCVogR0lXkrEAch48,35.0112118,-80.84954019999999
"Whole Foods Market","7221 Waverly Walk Ave, Charlotte, NC 28277, USA","bakery",4.4,1488,ChIJx47_MM0nVIgRiqiMCJ90RLc,35.0531552,-80.7673253
"Publix Super Market at Cross Creek","8360 Charlotte Hwy, Indian Land, SC 29707, USA","bakery",4.6,1265,ChIJjR6Sn8qDVogRKdKpdu-cykM,34.9562039,-80.8496961
"Publix Super Market at Marvin Gardens","1615 Providence Rd S, Marvin, NC 28173, USA","bakery",4.6,867,ChIJQ0aD85gpVIgRex4h196oUjk,34.9876791,-80.7710245
"Walmart Neighborhood Market","2520 Cuthbertson Rd, Waxhaw, NC 28173, USA","bakery",4.1,970,ChIJc16WOHspVIgRuEuQd4nMPFw,34.9583942,-80.756204
"Harris Teeter","11135 Golf Links Dr, Charlotte, NC 28277, USA","bakery",4.6,1199,ChIJzctfkk4nVIgRMX9WXIlluUs,35.0518613,-80.7727271
"Harris Teeter","8157 Kensington Dr, Waxhaw, NC 28173, USA","bakery",4.4,710,ChIJRxprGnwpVIgR4hbzkkdriGo,34.9538199,-80.75946909999999
"Harris Teeter","5920 Weddington Monroe Rd, Wesley Chapel, NC 28104, USA","bakery",4.4,922,ChIJqaNnVKAvVIgRWU7v5ANvQuM,34.9998461,-80.70005680000001
"Harris Teeter","6271 Carolina Commons Dr, Indian Land, SC 29707, USA","bakery",4.4,993,ChIJ0UXoG8GCVogRAa2xWpzWPys,34.9369197,-80.8384727
"Harris Teeter","16625 Lancaster Hwy, Charlotte, NC 28277, USA","bakery",4.4,809,ChIJq1w3wt2CVogR4AY6Yk2ZO10,35.0242697,-80.84803939999999
"Tous les Jours Ballantyne","16709 Orchard Stone Run Ste300, Charlotte, NC 28277, USA","bakery",4.6,120,ChIJB8FZw6uDVogRSB-LsFV03fQ,35.0266893,-80.8387736
"Harris Teeter","9720 Rea Rd, Charlotte, NC 28277, USA","bakery",4.4,643,ChIJPa-_fAEoVIgRZOEDgrd7Yuc,35.0363543,-80.80682759999999
"Harris Teeter","13639 Providence Rd, Matthews, NC 28104, USA","bakery",4.4,410,ChIJKUxIMYkoVIgRDm5Pl5dng8s,35.02394410000001,-80.760964
"Cold Stone Creamery","9820 Rea Rd Suite B, Charlotte, NC 28277, USA","bakery",3.9,216,ChIJI2vT6gMoVIgRyJMbWqP_cAs,35.034747599999996,-80.80565829999999
"Virtuoso Breadworks","205 Salem St, Waxhaw, NC 28173, USA","bakery",4.8,372,ChIJp_Dh0U4rVIgRs3zaGE31j1Q,34.9238061,-80.7391758
"Lidl","9990 Charlotte Hwy, Indian Land, SC 29707, USA","grocery_store",4.4,1562,ChIJYRC-pf2CVogR9TW3EZLeve4,35.0090378,-80.85324109999999
"Lowes Foods of Indian Land","2230 Daisy Ln, Indian Land, SC 29707, USA","grocery_store",4.4,140,ChIJ6-tz7OmDVogRI0MbQdn8cS4,34.9727496,-80.8510226
"ALDI","9553 Charlotte Hwy, Indian Land, SC 29707, USA","grocery_store",4.5,762,ChIJf9IGxKyDVogR8QftuYlZKUM,34.994371,-80.85553
"EUROPEAN FOOD MARKET/EXXON","9792 Charlotte Hwy, Indian Land, SC 29707, USA","grocery_store",4.5,350,ChIJq0D_PQCDVogR3HlmnAg5GE8,35.0027573,-80.8549762
"Food Lion","5939 Weddington Rd, Wesley Chapel, NC 28104, USA","grocery_store",4.7,172,ChIJX1Snm9EvVIgRLjAEVzwXCt8,35.0031786,-80.6998734
